기업명,언론사,제목,날짜,URL
삼성전자,연합뉴스,증시 상승 출발…코스피 1%·코스닥 4%대 상승세(종합),2026-08-10,https://news.google.com/rss/articles/CBMiYEFVX3lxTE14cFJidU9zYmpWMVJiaWIzcXJKbU5QTy1zV19vYVBOaS02ZUxaMjYyUUVpSnM5eXptYUVXVFBHMVFQWFFxV1ZSRjhVajBpMjUtd2gyckFNZkxXWTd6cXBWN9IBYEFVX3lxTE14cFJidU9zYmpWMVJiaWIzcXJKbU5QTy1zV19vYVBOaS02ZUxaMjYyUUVpSnM5eXptYUVXVFBHMVFQWFFxV1ZSRjhVajBpMjUtd2gyckFNZkxXWTd6cXBWNw?oc=5
삼성전자,연합뉴스,"카카오페이증권, 삼전·닉스 소수점거래 서비스 개시",2026-08-10,https://news.google.com/rss/articles/CBMiW0FVX3lxTE5EZnpMZHdOd1NEd2tuQ2dQQVFyNnZleV9zVzFUZlk5R203MDRSdkhFNzk0dmhTeHVLWFJ4dUYzTnZsWGJRWFNaY05ucjZRbEV2WG5UX1RINm1ySHfSAWBBVV95cUxQSi02QWpfRElyWFVfZWxLTE5PWWZYVHJUeURwRlppeHhWYUczZDB1cERFNWlrUVVQVEt2d0ZFZVdBYTZMMXpXSzNIc2NfeFdoV2ZjMDlMQ3RzNl9rZFNaRGQ?oc=5
삼성전자,연합뉴스,"[특징주] 삼성전자· SK하이닉스, 장 초반 강세",2026-08-10,https://news.google.com/rss/articles/CBMiW0FVX3lxTE5pd0hjSDVvWHBueXpvcUwwQldCT0NNUm15RG04WjBYWWphZUloekVnY2xVc0tKQllzZHBzWmpBcWh4cjRmRS12anpjcTFkT1pQZDNhYmd6Yjk5MG_SAWBBVV95cUxOdzJBa3k4bVljU0xMYkdTVF9YeFVHQWNveFExM2JmenlZX3MtVmhrd1cwam5uZC1HeWlTelE4TGdmVjhuWjlQckg3MjBWMllERVg4bkZZekRtbXlJWDMtWjM?oc=5
삼성전자,연합뉴스,"[테크스냅] 삼성전자, 코레일과 '종이 없는 승차권' 서비스 시작",2026-08-10,https://news.google.com/rss/articles/CBMiW0FVX3lxTE41NGs3SC12OHYtYVFoNS1GNnQtcEZpVTkzVC1idGdMZ1EzUHdLUHVBSkI4alQ1R1dZRnlSTnhjcTREejdCSDh4a0N2Y3pPOGxZbEhvc2dlTnVxdFXSAWBBVV95cUxOV1Z1Y0pKQmNpTFl1a1JZcTBPdzZ5WGtlT19uc1lOSFQ0c2o5UXVHdUNLVDlCaDl4LVd0eWE2TmpvMlJxelJfV3VqeXp4WkhTdnhMVXAycm9feU1qMlBHN3M?oc=5
삼성전자,연합뉴스,"삼성전자·NTT 도코모, AI 무선망 통신 품질 최적화 기술 검증",2026-08-10,https://news.google.com/rss/articles/CBMiW0FVX3lxTFA5cnR5aDlsdjJ0S0w3T1JpaTRCYkNqMDlLdHliNTA0cmhyd0MxY3FhSGNtWGEzcUJYRmJXTVB0U0dneExCWnhPV2FzS1VFbldrNzY5Y20yTE05UHfSAWBBVV95cUxON0VkUzZaMlNCRDVhVFQ0TWRWM3N1ekhSWWRFRHdfVzVKREpTc0QtWUd2d1JicmhJbUJIOWkxc210eEpLUU9xQmh0YWdJRDR4OFpEUHJCYXlxcDVkYW9OdzM?oc=5
삼성전자,연합뉴스,[표] 코스피 지수선물·옵션 시세표(10일)-2,2026-08-10,https://news.google.com/rss/articles/CBMiW0FVX3lxTE12RGN0cE5TSElBQWlSUDcxOVRtSDVxS2d1Q3E4LWVWQ0xhT3p4QzA2VEFGdUhONHVILVVmTWc2cHZNbHoycVZjOWl6VFZHSjdoZ1pENzZIRUlsRFU?oc=5
삼성전자,연합뉴스,"추미애 ""삼성·하이닉스 폐수 방류랑 감소 노력 안 해""",2026-08-10,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1nd2VhbjhmYkFDbFVGQnViUmFEZGlISW9JTzRGRjgxRGVwbl84UjZ5SW5tczRFS3FKSFUzNHMwS2wxVkJGQ1l2TXVzNWg5NEMtN2ZnZTlTZnJOaEnSAWBBVV95cUxQMVV2ZnMwVklsN1ctVmkwNzlWeEFVZmNfdW5qS2xXVVNWbGZ6eGhPM0hpS0ZteW5YMGpSWFR4SzlvQ0NaLVhrVnluR25WSmFBR3pXb0lKTks0Ty1ndGplWW8?oc=5
삼성전자,연합뉴스,갤럭시 Z8 사전판매 30%↑…폴드8이 글로벌 흥행 이끌었다,2026-08-10,https://news.google.com/rss/articles/CBMiYEFVX3lxTE1Xd20yVGFPWWNhc1J4Vy16ak96NDJTb1ZqVDdEVzBScDhReHF0bjE1UFNaV0tMLVQ3UDFxTENBblgtZGQ2YUpibXJqakdXNWxKVVMyYjFpMnpKOXV5bTZHetIBYEFVX3lxTE1Xd20yVGFPWWNhc1J4Vy16ak96NDJTb1ZqVDdEVzBScDhReHF0bjE1UFNaV0tMLVQ3UDFxTENBblgtZGQ2YUpibXJqakdXNWxKVVMyYjFpMnpKOXV5bTZHeg?oc=5
삼성전자,연합뉴스,[표] 거래소 외국인 순매수도 상위종목(10일),2026-08-10,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1BMmN3cUNYejZ3dkxHdkFVbDNobHl0Z0IxMUVjRHhGeXlrRW9HbG16d0IySGZtNlNIbEZEZzVIOWJ2cU83NGFkOW1Xcl9JcjJuaXFNWWZac1VpMjA?oc=5
삼성전자,연합뉴스,"파워오토로보틱스·아라, 한국기술교육대에 1천500만원 기부",2026-08-10,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1UWXZkNlJNZG1ZZ1VtaHQzZFNPczJLTjRMWlNvVEVpM1FKU0E1VGF6aFp1Z1Ewd1NPZEsyVmxRQzlWR3ZWSS1HYlFCMXN5aVFnNlY0VUwxUmxkVDTSAWBBVV95cUxNd3hMQ3pKdmU1VHRtUF9laVNhTlVremp4X29MaFNScEFrSkxkM3ZkbFI2RTh3TVFMeC1oYllQcXpXWEtQTTF5Q1V3S0RPNXV1VXVsSDl0Y3ZGWEJzcy1IRVk?oc=5
삼성전자,연합뉴스,[표] 거래소 기관 순매수도 상위종목(10일),2026-08-10,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBxbWJIa1hWWV80ZnpObHJsMzMybWFUbmdudUdIZ3prc2ZTd0IydVhiUlNvM1JDQ3JHdTlVOV82UmdMdW5ScUdrWjQ5UV9HZ2xPLUdYRTVsUWFTR1E?oc=5
삼성전자,연합뉴스,"이번에도 중국발 악재?…'전강후약' 삼전닉스, 하락 마감(종합)",2026-08-10,https://news.google.com/rss/articles/CBMiW0FVX3lxTE9saVIyVzVPTXFDTXJiTV9nQXV5eXF3WEV5c2NtMkdKUUNVM1hKcmNNTkM0enI0Q0dCRzdUZjA4LXFkeVhvd2l3YkZMcWw1aGRHQU9HdVhkTy1zNEHSAWBBVV95cUxQbUZyQkVMOG5FSjN2QlJLTkRJSy01MTBFa2VmU0lNS3lRLTNqV1NTcERqMUhYRU1kLUx6emhia05rRUJEaGdqU2EtaG1JVWNFaVJZQ0NSODBKcmhUN0JOaFk?oc=5
삼성전자,연합뉴스,"소니·TSMC, 日구마모토 이미지 센서 공정에 9조원 합작 투자",2026-08-10,https://news.google.com/rss/articles/CBMiYEFVX3lxTFBOaW5TVG1kSllYY3czdHQyRS1TOWpld2pndmp4RDB1YjJlT1E3TERRRkZGVUpvV2c4elJIZS12ZmRNSm1EaThpM2xaRWJoTXl3dGJLTzZqZEtGeVRmME5hM9IBYEFVX3lxTFBOaW5TVG1kSllYY3czdHQyRS1TOWpld2pndmp4RDB1YjJlT1E3TERRRkZGVUpvV2c4elJIZS12ZmRNSm1EaThpM2xaRWJoTXl3dGJLTzZqZEtGeVRmME5hMw?oc=5
삼성전자,연합뉴스,"블룸버그 ""레버리지 청산에 한국증시 변동성 일단락 가능성""",2026-08-09,https://news.google.com/rss/articles/CBMiYEFVX3lxTE13V2kzWHN5ODgtbEdZUnZOZHYxMUxpenZqbFl3cmV2SE1GcFFqYm5faVBNeTVIM0t3ZXhYUThMdEZRS3J4ekpTbnk4eDI2S043WEJfOVRFLU56M0VaTFpnS9IBYEFVX3lxTE13V2kzWHN5ODgtbEdZUnZOZHYxMUxpenZqbFl3cmV2SE1GcFFqYm5faVBNeTVIM0t3ZXhYUThMdEZRS3J4ekpTbnk4eDI2S043WEJfOVRFLU56M0VaTFpnSw?oc=5
삼성전자,연합뉴스,"모건스탠리 ""메모리주 가파른 조정 끝났다…재진입 매력적""",2026-08-09,https://news.google.com/rss/articles/CBMiW0FVX3lxTE9NaExESWMtVjdoal9HV01FMUxDYjVEOEw1ZUttVEh3dldfaHlZUjIwVzR5NDRRa1RkZXRzbHpmUmFiOF84LVgzczRNbFpaWG5zbUZfMGEzaFNhTFXSAWBBVV95cUxQNHM4SkZ1UjJMdlM0RU9nWFN4QS1jYlVRTkJpTk5fOWZ2UnhPM0VLcjl6TFJiNFcxaEZfNll5eEpvS1JRdXNFMDI3bEE0dGZrdkdpTFV4X19nZVI3b2MwMU8?oc=5
삼성전자,연합뉴스,"KB증권 ""삼성전자, 주주환원 최대 200조원 가능…적극 비중확대""",2026-08-09,https://news.google.com/rss/articles/CBMiW0FVX3lxTFAtUmxzblRFVnFqRlpNRzZDTlFJNlRRRFMwalpzRjY0V1ozWVJONmdycDZNOUdid0R5UHVCbUZINHFUVi1ka05WYVZGa1pRRkRyUGpBVmY3ajVmeUnSAWBBVV95cUxPU2x5eTB5cXJkQ3FFcG1TYkhIaS04amIxdEpCMVF4VFliS2ZxeVBBbFc0WE1YTFJ5R2xWTEJrN3d5QmR2UGY5WTliSjljOWM1WFZCSzJHTHNEQS1mV2k5NXI?oc=5
삼성전자,연합뉴스,"삼성전자, 미국 에너지부 국립연구소와 차세대 난방기술 개발협력",2026-08-09,https://news.google.com/rss/articles/CBMiW0FVX3lxTE5EWlgwQTV0cUFPM09OdFVhc05kVjZLY21JTXdlX0QyT2l2Znp6azhBYnR5WVZub1RWWlhnTGNyNDlsZ0U4YmdfZExCbHo0TGpxZWkxaGczZGNGZEXSAWBBVV95cUxQLUN1elBFdVYxN0VmRmd0MGU4eHkyVklvSmk1S0l3aE9MRjc4WmxBT3cyem1GTlpZOFpTQVdxQXpIUGttM0lDVnJic0IwYjdkZUVjNm9rTHI3cmZxeXcxSWQ?oc=5
삼성전자,연합뉴스,[테크톡노트] 폴드는 어떻게 '아재폰'에서 'MZ폰'이 됐나,2026-08-08,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBYMUhiQUFrcDZNVFBCcTdYZlh4UG9oeGlOdkRiWTNJUkI0dmRmazhoNlpQNDFpQmhfajZtSC1tc3o1SWVfOUVaRElNQlQ2RWFOSzd2UER6U3pFeGPSAWBBVV95cUxNZUpFVFY4Ql9IeWtURGp4NE82dHR0aGxQWklHWm1NLW9VajYwdzNSdmpXaUV4Q1EzNkRuMXlSTk1RbDlXck5Fb203Q3Z6U1BlbXYwbldSWTNvdVBzbXVOUno?oc=5
삼성전자,연합뉴스,MZ 홀린 삼성 폴더블폰…하반기 구글·애플과 경쟁,2026-08-08,https://news.google.com/rss/articles/CBMiW0FVX3lxTE9Fc01Ja25Vczc5dVRQdUZJaEFqZWMtenFMalF0dnVFUXdDSmVhekhRcVNQYkJyRklzcWx0ZXdLOTh1Q3F4TVdNM1ZSQzlEcG1rMzZTWDlOb2pTLWvSAWBBVV95cUxPcEFXcjRONnlQQThfdVQxNHk1X2NjWkFsSHBXdEZJNDJlOGE0TV9La1o1aUlQR2o4N0NjWDFnR0RyWXBqUW5PbHh5bHZzVmhyM2prMlRpV2VMMjVFV05EVUg?oc=5
